Round 242, Train Loss 0.922, Train Acc 66.82, Test Loss 1.397, Test Acc 53.19
Round 243, Train Loss 0.898, Train Acc 66.43, Test Loss 1.402, Test Acc 53.06
Round 244, Train Loss 0.964, Train Acc 66.31, Test Loss 1.403, Test Acc 53.08
Round 245, Train Loss 0.946, Train Acc 66.64, Test Loss 1.403, Test Acc 52.94
Round 246, Train Loss 0.935, Train Acc 66.39, Test Loss 1.404, Test Acc 53.17
Round 247, Train Loss 0.940, Train Acc 66.88, Test Loss 1.394, Test Acc 53.15
Round 248, Train Loss 0.902, Train Acc 67.03, Test Loss 1.398, Test Acc 53.27
Round 249, Train Loss 0.958, Train Acc 66.39, Test Loss 1.404, Test Acc 52.73
Round 250, Train Loss 0.974, Train Acc 66.31, Test Loss 1.396, Test Acc 52.80
Round 251, Train Loss 0.962, Train Acc 66.76, Test Loss 1.401, Test Acc 52.67
Round 252, Train Loss 0.947, Train Acc 66.84, Test Loss 1.398, Test Acc 53.23
Round 253, Train Loss 0.928, Train Acc 67.14, Test Loss 1.394, Test Acc 53.48
Round 254, Train Loss 0.934, Train Acc 66.64, Test Loss 1.399, Test Acc 53.08
Round 255, Train Loss 0.950, Train Acc 67.31, Test Loss 1.394, Test Acc 53.40
Round 256, Train Loss 0.923, Train Acc 66.80, Test Loss 1.402, Test Acc 53.41
Round 257, Train Loss 0.957, Train Acc 67.12, Test Loss 1.398, Test Acc 53.15
Round 258, Train Loss 0.952, Train Acc 67.25, Test Loss 1.388, Test Acc 53.29
Round 259, Train Loss 0.917, Train Acc 67.39, Test Loss 1.397, Test Acc 53.30
Round 260, Train Loss 0.955, Train Acc 67.11, Test Loss 1.397, Test Acc 53.06
Round 261, Train Loss 0.921, Train Acc 67.72, Test Loss 1.396, Test Acc 53.55
Round 262, Train Loss 0.885, Train Acc 67.40, Test Loss 1.403, Test Acc 53.12
Round 263, Train Loss 0.939, Train Acc 67.23, Test Loss 1.403, Test Acc 53.13
Round 264, Train Loss 0.966, Train Acc 67.25, Test Loss 1.400, Test Acc 53.19
Round 265, Train Loss 0.909, Train Acc 67.39, Test Loss 1.396, Test Acc 53.60
Round 266, Train Loss 0.935, Train Acc 67.38, Test Loss 1.401, Test Acc 53.71
Round 267, Train Loss 0.926, Train Acc 67.35, Test Loss 1.395, Test Acc 53.15
Round 268, Train Loss 0.893, Train Acc 67.52, Test Loss 1.398, Test Acc 53.75
Round 269, Train Loss 0.907, Train Acc 67.60, Test Loss 1.400, Test Acc 53.41
Round 270, Train Loss 0.905, Train Acc 67.59, Test Loss 1.395, Test Acc 53.31
Round 271, Train Loss 0.907, Train Acc 67.59, Test Loss 1.399, Test Acc 53.25
Round 272, Train Loss 0.915, Train Acc 67.80, Test Loss 1.396, Test Acc 53.49
Round 273, Train Loss 0.868, Train Acc 67.87, Test Loss 1.400, Test Acc 53.26
Round 274, Train Loss 0.952, Train Acc 67.28, Test Loss 1.410, Test Acc 52.89
Round 275, Train Loss 0.957, Train Acc 67.78, Test Loss 1.404, Test Acc 53.20
Round 276, Train Loss 0.919, Train Acc 67.64, Test Loss 1.409, Test Acc 53.37
Round 277, Train Loss 0.907, Train Acc 67.46, Test Loss 1.413, Test Acc 53.45
Round 278, Train Loss 0.938, Train Acc 67.66, Test Loss 1.402, Test Acc 53.69
Round 279, Train Loss 0.933, Train Acc 67.97, Test Loss 1.396, Test Acc 53.65
Round 280, Train Loss 0.946, Train Acc 67.94, Test Loss 1.394, Test Acc 53.43
Round 281, Train Loss 0.921, Train Acc 67.60, Test Loss 1.396, Test Acc 53.50
Round 282, Train Loss 0.915, Train Acc 67.66, Test Loss 1.402, Test Acc 53.66
Round 283, Train Loss 0.887, Train Acc 68.06, Test Loss 1.394, Test Acc 53.52
Round 284, Train Loss 0.930, Train Acc 68.17, Test Loss 1.395, Test Acc 53.68
Round 285, Train Loss 0.901, Train Acc 67.71, Test Loss 1.406, Test Acc 53.15
Round 286, Train Loss 0.893, Train Acc 68.39, Test Loss 1.405, Test Acc 53.47
Round 287, Train Loss 0.922, Train Acc 67.98, Test Loss 1.401, Test Acc 53.37
Round 288, Train Loss 0.903, Train Acc 68.34, Test Loss 1.398, Test Acc 53.68
Round 289, Train Loss 0.937, Train Acc 68.24, Test Loss 1.406, Test Acc 53.36
Round 290, Train Loss 0.914, Train Acc 68.25, Test Loss 1.396, Test Acc 53.48
Round 291, Train Loss 0.906, Train Acc 68.30, Test Loss 1.403, Test Acc 53.64
Round 292, Train Loss 0.906, Train Acc 67.92, Test Loss 1.408, Test Acc 53.39
Round 293, Train Loss 0.932, Train Acc 68.18, Test Loss 1.402, Test Acc 53.44
Round 294, Train Loss 0.918, Train Acc 68.48, Test Loss 1.404, Test Acc 53.28
Round 295, Train Loss 0.908, Train Acc 68.31, Test Loss 1.413, Test Acc 53.06
Round 296, Train Loss 0.895, Train Acc 68.38, Test Loss 1.413, Test Acc 53.53
Round 297, Train Loss 0.920, Train Acc 68.63, Test Loss 1.404, Test Acc 53.33
Round 298, Train Loss 0.912, Train Acc 68.64, Test Loss 1.405, Test Acc 53.21
Round 299, Train Loss 0.864, Train Acc 68.18, Test Loss 1.410, Test Acc 53.32
Round 300, Train Loss 0.937, Train Acc 68.54, Test Loss 1.414, Test Acc 53.23
Round 301, Train Loss 0.879, Train Acc 68.98, Test Loss 1.414, Test Acc 53.67
Round 302, Train Loss 0.895, Train Acc 68.57, Test Loss 1.415, Test Acc 53.23
Round 303, Train Loss 0.936, Train Acc 68.05, Test Loss 1.411, Test Acc 53.40
Round 304, Train Loss 0.886, Train Acc 68.83, Test Loss 1.405, Test Acc 53.67
Round 305, Train Loss 0.860, Train Acc 68.70, Test Loss 1.411, Test Acc 53.58
Round 306, Train Loss 0.916, Train Acc 68.27, Test Loss 1.419, Test Acc 53.15
Round 307, Train Loss 0.907, Train Acc 68.90, Test Loss 1.409, Test Acc 54.00
Round 308, Train Loss 0.894, Train Acc 68.71, Test Loss 1.409, Test Acc 53.66
Round 309, Train Loss 0.886, Train Acc 69.16, Test Loss 1.405, Test Acc 54.19
Round 310, Train Loss 0.909, Train Acc 68.64, Test Loss 1.406, Test Acc 53.48
