Round 878, Average loss 0.987
Round 879, Average loss 0.979
Round 880, Average loss 0.953
Round 881, Average loss 0.997
Round 882, Average loss 1.007
Round 883, Average loss 0.951
Round 884, Average loss 0.939
Round 885, Average loss 0.953
Round 886, Average loss 0.993
Round 887, Average loss 0.981
Round 888, Average loss 0.988
Round 889, Average loss 0.967
Round 890, Average loss 1.006
Round 891, Average loss 0.990
Round 892, Average loss 0.976
Round 893, Average loss 0.990
Round 894, Average loss 0.968
Round 895, Average loss 0.968
Round 896, Average loss 0.987
Round 897, Average loss 0.967
Round 898, Average loss 0.977
Round 899, Average loss 0.993
Round 900, Average loss 0.978
Round 901, Average loss 0.958
Round 902, Average loss 0.988
Round 903, Average loss 0.983
Round 904, Average loss 0.973
Round 905, Average loss 0.986
Round 906, Average loss 0.979
Round 907, Average loss 1.020
Round 908, Average loss 0.981
Round 909, Average loss 0.960
Round 910, Average loss 0.978
Round 911, Average loss 1.010
Round 912, Average loss 0.988
Round 913, Average loss 0.944
Round 914, Average loss 0.993
Round 915, Average loss 0.981
Round 916, Average loss 0.975
Round 917, Average loss 0.979
Round 918, Average loss 0.984
Round 919, Average loss 0.960
Round 920, Average loss 0.951
Round 921, Average loss 0.985
Round 922, Average loss 0.958
Round 923, Average loss 0.959
Round 924, Average loss 0.984
Round 925, Average loss 0.987
Round 926, Average loss 1.008
Round 927, Average loss 0.975
Round 928, Average loss 0.967
Round 929, Average loss 0.999
Round 930, Average loss 1.002
Round 931, Average loss 0.977
Round 932, Average loss 0.956
Round 933, Average loss 0.953
Round 934, Average loss 0.978
Round 935, Average loss 0.962
Round 936, Average loss 0.955
Round 937, Average loss 0.945
Round 938, Average loss 1.012
Round 939, Average loss 0.985
Round 940, Average loss 0.987
Round 941, Average loss 0.984
Round 942, Average loss 0.951
Round 943, Average loss 0.968
Round 944, Average loss 0.989
Round 945, Average loss 0.939
Round 946, Average loss 0.942
Round 947, Average loss 0.979
Round 948, Average loss 0.956
Round 949, Average loss 0.958
Round 950, Average loss 0.969
Round 951, Average loss 0.987
Round 952, Average loss 0.940
Round 953, Average loss 0.993
Round 954, Average loss 0.960
Round 955, Average loss 0.958
Round 956, Average loss 0.951
Round 957, Average loss 0.999
Round 958, Average loss 0.938
Round 959, Average loss 0.937
Round 960, Average loss 0.981
Round 961, Average loss 0.990
Round 962, Average loss 0.949
Round 963, Average loss 0.963
Round 964, Average loss 0.946
Round 965, Average loss 0.959
Round 966, Average loss 0.981
Round 967, Average loss 0.955
Round 968, Average loss 1.004
Round 969, Average loss 0.982
Round 970, Average loss 0.982
Round 971, Average loss 0.971
Round 972, Average loss 1.006
Round 973, Average loss 0.978
Round 974, Average loss 0.974
Round 975, Average loss 0.989
Round 976, Average loss 0.942
Round 977, Average loss 0.981
Round 978, Average loss 0.967
Round 979, Average loss 0.965
Round 980, Average loss 0.967
Round 981, Average loss 0.952
Round 982, Average loss 0.939
Round 983, Average loss 0.963
Round 984, Average loss 0.966
Round 985, Average loss 0.965
Round 986, Average loss 0.972
Round 987, Average loss 0.946
Round 988, Average loss 0.944
Round 989, Average loss 0.971
Round 990, Average loss 0.954
Round 991, Average loss 0.957
Round 992, Average loss 0.974
Round 993, Average loss 0.985
Round 994, Average loss 0.986
Round 995, Average loss 0.967
Round 996, Average loss 0.976
Round 997, Average loss 0.956
Round 998, Average loss 0.974
